"p","e","flux inf","flux hor","flux L inf","flux L hor"
91.79124565317177,0.04420795069377237,9.217181804592245e-9,-2.6513024561814173e-12,8.100077110719921e-6,-2.3212675519392574e-9
92.63313180518824,0.07187821031999073,8.861185380543716e-9,-2.533557507051679e-12,7.881633672638755e-6,-2.2314311510730546e-9
93.65037369484075,0.1051655855009449,8.436675585777414e-9,-2.406034134679548e-12,7.605103151621055e-6,-2.124165465063066e-9
94.81987122884459,0.14325043058521536,7.956959714420597e-9,-2.276171948058991e-12,7.272449595412023e-6,-2.002803699590824e-9
96.11445470544844,0.18519497029047305,7.436979337789855e-9,-2.1490862992185708e-12,6.888892765220452e-6,-1.871126573660456e-9
97.50339865907404,0.22996639084322837,6.8924393551807364e-9,-2.027291112662056e-12,6.463128705491152e-6,-1.7331407884246737e-9
98.95310182983813,0.2764622712816465,6.338927410602506e-9,-1.9110907044628374e-12,6.00699584350882e-6,-1.5928490627225745e-9
100.42791110801963,0.32353772871835346,5.791073178842443e-9,-1.7993114748823535e-12,5.534650260652e-6,-1.4540351205163977e-9
101.89105448498978,0.37003360915677164,5.26164710552521e-9,-1.6898737175886094e-12,5.061373253935994e-6,-1.3200457518794541e-9
103.30564154230292,0.41480502970952693,4.760666808251606e-9,-1.5800383518069416e-12,4.6022123705377045e-6,-1.1935648385581725e-9
104.63568874629955,0.4567495694147846,4.295208585048931e-9,-1.4670391598310314e-12,4.170800839322718e-6,-1.0765077414531608e-9
105.84712912134248,0.4948344144990551,3.870795528208748e-9,-1.3499498471510274e-12,3.778765221552419e-6,-9.702671232926973e-10
106.90877017280354,0.5281217896800092,3.4939213056741404e-9,-1.231975163590254e-12,3.4358480453097577e-6,-8.763054299786501e-10
107.79316904788651,0.5557920493062276,3.1736868258602503e-9,-1.1209077609990265e-12,3.150364165349148e-6,-7.966528548931307e-10
108.47739914221495,0.577163859753386,2.921036162390446e-9,-1.026862720087626e-12,2.929433673039841e-6,-7.338506626519481e-10
108.94368733740376,0.5917109761193029,2.7463095862483763e-9,-9.59028232403506e-13,2.7787971561327384e-6,-6.904017588506578e-10
109.1799056874222,0.5990752001199384,2.657043324274548e-9,-9.23637845521404e-13,2.7024603623010147e-6,-6.681909797707629e-10
74.6050069738966,0.0009247998800616108,2.108946595305235e-8,-8.227175549436612e-12,0.00001359520654820682,-5.303594224090763e-9
74.78822499013816,0.008289023880697022,2.0883170780211796e-8,-8.1182935913251e-12,0.000013511349019062015,-5.251828494315024e-9
75.15079118789807,0.022836140246613956,2.0476358089118367e-8,-7.911447603960785e-12,0.000013341442810942643,-5.149647277839276e-9
75.68496044837768,0.04420795069377237,1.988079406751473e-8,-7.626348302960713e-12,0.000013082033989432106,-4.999834812017039e-9
76.37912381509086,0.07187821031999073,1.9114385650334313e-8,-7.287713413168599e-12,0.000012730028096045598,-4.806700754507299e-9
77.21787386839864,0.1051655855009449,1.8200910973288134e-8,-6.920697014444342e-12,0.000012284605394857144,-4.576070281979227e-9
78.18216380667879,0.14325043058521536,1.7169091700552644e-8,-6.546662348664437e-12,0.000011748965015155567,-4.315099075808613e-9
79.24959129964581,0.18519497029047305,1.6051051702930702e-8,-6.180351403497679e-12,0.000011131498405519095,-4.0319073458633e-9
80.39482217048904,0.22996639084322837,1.48804476276619e-8,-5.829075620727652e-12,0.00001044614317225112,-3.735104066149279e-9
