"p","e","flux inf","flux hor","flux L inf","flux L hor"
105.02350021360672,0.37003360915677164,4.668491914422739e-9,3.7740891450235504e-14,4.697560170981529e-6,2.36016293552516e-11
106.41875374556254,0.41480502970952693,4.234029934304951e-9,3.7563783437058616e-14,4.277630940084585e-6,2.2178762289730027e-11
107.72591055335384,0.4567495694147846,3.829086060845777e-9,3.654614194009021e-14,3.882266654807435e-6,2.0687050194418287e-11
108.91278409816809,0.4948344144990551,3.4584846254178028e-9,3.4571431880357334e-14,3.5222111715540166e-6,1.9108884813183344e-11
109.95014961432449,0.5281217896800092,3.1281065857847324e-9,3.184089190574917e-14,3.2065938197877903e-6,1.7490095430407004e-11
110.81246371999653,0.5557920493062276,2.8463312989122224e-9,2.88295983117259e-14,2.9433159104946488e-6,1.5946210022811315e-11
111.47849338004609,0.577163859753386,2.6233126501946332e-9,2.6087538912160935e-14,2.739223641862236e-6,1.4627933361081974e-11
111.93183873381706,0.5917109761193029,2.4687079510999927e-9,2.4051899576618744e-14,2.5998868145131276e-6,1.367230443798615e-11
112.16133691413263,0.5990752001199384,2.3896049748668455e-9,2.2980369290562942e-14,2.529218731790515e-6,1.3172452284067715e-11
78.19529921364267,0.0009247998800616108,1.751463498452964e-8,1.5124759275638477e-13,0.000012110773088439419,1.0458202910915798e-10
78.38718929340374,0.008289023880697022,1.7343315726744805e-8,1.4875030546692196e-13,0.000012036059202963656,1.0318930267819064e-10
78.76624448231551,0.022836140246613956,1.70060578004678e-8,1.4432259520975501e-13,0.000011884929547116095,1.0055399495613092e-10
79.32313118361492,0.04420795069377237,1.6513590797416047e-8,1.3893313999693123e-13,0.000011654730128389914,9.694533770235965e-11
80.04413699851499,0.07187821031999073,1.5881782838632782e-8,1.3368204764013978e-13,0.00001134316801684195,9.269699885616189e-11
80.91150837097175,0.1051655855009449,1.5131066433272446e-8,1.2951896497969135e-13,0.000010949866901699776,8.814301886738026e-11
81.90388773915478,0.14325043058521536,1.4285424850575293e-8,1.27035010662716e-13,0.000010477799321024229,8.356042000231019e-11
82.9968394295011,0.18519497029047305,1.3371036492454532e-8,1.2637555977634726e-13,9.9342702905944e-6,7.913237677334115e-11
84.16345134409572,0.22996639084322837,1.241482228278126e-8,1.2727207691788457e-13,9.331250422143848e-6,7.493911432939248e-11
85.37499762583832,0.2764622712816465,1.144311927265199e-8,1.291491269661565e-13,8.684996523671123e-6,7.097456160329802e-11
86.60164598438084,0.32353772871835346,1.0480473115759166e-8,1.312268450606022e-13,8.015015216543595e-6,6.717481369283979e-11
87.81319226612344,0.37003360915677164,9.548283058017358e-9,1.3254676820025975e-13,7.3425041789065846e-6,6.343981703840669e-11
88.97980418071805,0.41480502970952693,8.663373690799096e-9,1.3198199229195124e-13,6.688517319888015e-6,5.964327280358354e-11
90.07275587106439,0.4567495694147846,7.837781262239268e-9,1.2847597660717598e-13,6.072346654966668e-6,5.565892015226711e-11
91.06513523924741,0.4948344144990551,7.0813497121862734e-9,1.2160975101223085e-13,5.510713596194621e-6,5.143803216440492e-11
91.93250661170417,0.5281217896800092,6.406307869276688e-9,1.1207703950349917e-13,5.017941896767175e-6,4.7102301648118855e-11
92.65351242660424,0.5557920493062276,5.8301145944241766e-9,1.015381690323232e-13,4.6065425567632805e-6,4.296174514267317e-11
93.21039912790364,0.577163859753386,5.373839437865881e-9,9.192551189650171e-14,4.28741811282074e-6,3.9422434773546035e-11
93.5894543168154,0.5917109761193029,5.057443617553941e-9,8.47814287071065e-14,4.069451184612773e-6,3.685478360443925e-11
93.78134439657649,0.5990752001199384,4.8955388753740224e-9,8.101846876636626e-14,3.958876936907308e-6,3.551111250675853e-11
64.10577246401077,0.0009247998800616108,3.8652565783064085e-8,6.096954334813335e-13,0.00001983918557720576,3.1293654293031984e-10
64.26308705855763,0.008289023880697022,3.827474326727429e-8,5.996232796296154e-13,0.000019716917727041163,3.087668438003009e-10
64.57384264023639,0.022836140246613956,3.753121760815342e-8,5.817667544094354e-13,0.000019469686564134388,3.008800056601376e-10
65.03038737528749,0.04420795069377237,3.6446079061051617e-8,5.600347476512221e-13,0.000019093304276495986,2.9008692111951064e-10
65.62147961714885,0.07187821031999073,3.505479021615012e-8,5.388669709836007e-13,0.000018584196722093815,2.773917674871893e-10
